Kennzeichen,Beispiel
CQ,Schwungrad
CQ,Gummiband
CQ,Feder
EA,Aussendeobjekt für Licht
EA,Lichtobjekt
EA,Argonlampe
EA,Elektrolumineszenzgeräte
EA,elektrische Leuchte
EA,Leuchtstofflampe
EA,Leuchtstoffröhre
EA,Gaslampe
EA,Glühlampe
EA,Lampe
EA,Lampenbirne
EA,Laser
EA,Flüssigkeitslampe
EA,Neonlampe
EA,Paraffinlampe
EB,Aussendeobjekt für durch elektrische Energie erzeugte Wärme
EB,Elektroheizobjekt
EB,Lichtbogen Heizungsobjekt
EB,Elektrolichtbogenofen
EB,Elektrokessel
EB,elektrische Heizfläche
EB,Elektroheißluftgebläse
EB,Elektroofen
EB,Bratplatte
EB,Heizkabel
EB,Heizmatte
EB,Induktionsheizung
EB,Induktionsofen
EB,Infrarotheizung
EB,Sauna
EC,Aussendeobjekt für durch elektrische Energie erzeugte Kälte
EC,Elektrokühlobjekt
EC,Kompressionskältemaschine
EC,Elektrokaltluftgebläse
EC,Elektrische Kühloberfläche
EE,Aussendeobjekt für drahtlose Energie
EE,Drahtlosenergie Objekt
EE,kapazitiver Koppler
EE,Gammastrahlenquelle
EE,induktive Antenne
EE,Magnetron
EE,Maser
EE,Mikrowellenofen
EE,Röntgenstrahlenquelle
EG,Aussendeobjekt für durch Wärmeenergie übertragene Wärme und Kälte
EG,Wärmeenergie Übertragungsobjekt
EG,Gefriergerät
EG,Kühlschrank
EG,Wärmetauscher
EG,Wärmepumpe
EG,Peltierelement
EG,Kühlcontainer
EG,Kühlregal
EG,reversible Wärmepumpe
EM,Aussendeobjekt für durch Verbrennung erzeugte Wärme
EM,Verbrennungsheizobjekt
EM,Kochplatte
EM,Feuerungskessel
EM,Herd
EP,Aussendeobjekt für durch Wärmeenergie erzeugte Wärme
EP,Wärmeheizobjekt
EP,Kondensator
EP,Heizspule
EP,Heizplatte
EP,Heizrohr
EP,Heizfläche
EP,Heizröhre
EP,Heißluftgebläse
EP,Radiator
EQ,Aussendeobjekt für durch Wärmeenergie erzeugte Kälte
EQ,Thermalkühlobjekt
EQ,Gebläsekühleinrichtung
EQ,Kondensator
EQ,Kühler
EQ,Kühlspule
EQ,Kühlplatte
EQ,Kühlrohr
EQ,Kühloberfläche
EQ,Kühlturm
EQ,Kühlröhre
EQ,Verdampfer
ET,Aussendeobjekt für durch Kernspaltung erzeugte Wärme
ET,Nuklearenergie Wärmeobjekt
ET,Siedewasserreaktor
ET,gasgekühlter Hochtemperaturreaktor
ET,Kugelhaufenreaktor
ET,Druckwasserreaktor
EU,Aussendeobjekt für subatomare Partikel
EU,Partikelaussendeobjekt
EU,Alphastrahlengerät
EU,Betastrahlengerät
EU,Neutronenstrahlengerät
EU,Partikelgenerator
EU,Plasmagenerator
EV,Aussendeobjekt für Schallwellen
EV,Schallwellenaussendeobjekt
EV,Lautsprecher zur Geräuschunterdrückung
EV,Sonar
FA,Schutzobjekt bei Überspannung
FA,Überspannungsschutzobjekt
FA,Begrenzer
FA,Funkenstrecken Überspannungsableiter
FA,Überspannungsschutz
FA,Varistorüberspannungsschutz
FA,Zenerdiode
FB,Schutzobjekt bei Erdschlussströme
FB,Erdschlussstromschutzobjekt
FB,Fehlerstromschutzschalter FI Schalter
FB,Erdschlussschutzschalter
FB,Fehlerspannungsschutzschalter FU Schalter
FB,Fischutzschalter
FB,Fehlerschutzschalter
FB,neutraler Erdungswiderstand
FB,Erdschlussstrombegrenzer
FB,neutraler Erdungsreaktor
FB,Petersenspule
FB,Fehlerstromschutzschalter RCCB
FB,Fehlerstromgerät
FC,Schutzobjekt bei Überströme
FC,Überstromschutzobjekt
FC,Bimetall
FC,Bimetallschaltkreis
FC,Sicherung
FC,Leistungsschutzschalter
FC,thermische Überlastauslösung
FC,thermisches Überlastrelais
FE,Schutzobjekt bei elektrische und magnetische Felder
FE,Feldschutzobjekt
FE,Betonwand
FE,elektrische Feldabschirmung
FE,elektromagnetischerfeldabschirmungsfaradaykäfig
FE,Bleiblock
FE,Metallbleche
FE,Magnetfeldabschirmung
FE,Mumetallische Abschirmung
FL,Schutzobjekt bei Drücke
FL,Druckschutzobjekt
FL,Ausdehnungsbehälter
FL,Ausdehnungsgefäß
FL,Berstscheibe
FL,Sicherheitsdämpfer
FL,Sicherheitsarmatur
FL,Rückschlagventil gegen Vakuum
FM,Schutzobjekt bei Feuer
FM,Brandschutzobjekt
FM,Brand und Gasschutzklappe
FM,Brandschutzblende
FM,Brandschutzklappe
FM,Feuerlöscher
FM,Gasschutzklappe
FM,Brandschutzimprägnierung
FM,Brandisolierung
FM,Brandschutzbeschichtung
FM,feuerabweisendebeschichtung
FM,Rauchschutzverschluss
FM,Rauchschutzvorhang
FN,Schutzobjekt bei mechanischer Kraft
FN,Objekt zum Schutz vor mechanischer Kraft
FN,Kabelschutz
FN,Stoßschutz
FN,Sicherheitskupplung
FQ,Schutzobjekt durch Barriere oder Hindernis
FQ,Vorbeugendes Schutzobjekt
FQ,Bruchschutz
FQ,Blendschutz
FQ,Gleitschutz
FQ,Schutzgeländer
FQ,Handlauf
FQ,Lukenschloss
FQ,Schutzgewebe
FQ,Schutzgitter
FQ,Schutznetz
FQ,Schutzschiene
FQ,Schutzstange
FQ,Schutzdach
FQ,Schneeschutz
FQ,Spritzschutz
FQ,Aufhängungsschutz
FR,Schutzobjekt bei Materialerosion
FR,Verschleißschutzobjekt
FR,Schmierobjekt
FR,Schmieröl
FR,Verschleißschutz
FS,Schutzobjekt in Bezug auf die lokale Umgebung
FS,Umgebungsschutzobjekt
FS,Lawinenschutzkonstruktion
FS,kathodischer Schutz
FS,Korrosionsschutz
FS,Zement
FS,Gebäude
FS,Imprägnierung
FS,Imprägnierungsplatte
FS,materialtrennende Lackschicht
FS,Lack
FS,Mörtel
FS,Gips
FS,Schutzversiegelung
FS,Überwachungsgerät für seismische Schwingungen
FS,Opferanode
FS,Schuppen
FS,Unterstand
FS,Schneefang
GA,Erzeugungsobjekt für durch mechanische Energie erzeugte elektrische Energie
GA,Erzeugungsobjekt für elektrische Energie durch mechanische Energie
GA,Wechselstromgenerator
GA,Gleichstromgenerator
GA,Dynamo
GA,Generator
GB,Erzeugungsobjekt für durch chemische Reaktion erzeugte elektrische Energie
GB,Erzeugungsobjekt für elektrische Energie durch chemische Energie
GB,Batterie
GB,Elektrobatterie
GB,Brennstoffzelle
GC,Erzeugungsobjekt für durch Solarenergie erzeugte elektrische Energie
GC,Erzeugungsobjekt für elektrische Energie durch Sonnenenergie
GC,kristallines PhotovoltaikModul
GC,Solarzelle
GC,DünnschichtPhotovoltaik Modul
GF,Erzeugungsobjekt von Signalen für Informationsträger
GF,Signalerzeugungsobjekt
GF,Elektromagnetwellenmesswertgeber
GF,Lasermesswertgeber
GF,Radiowellenmesswertgeber
GF,Signalerzeuger
GF,Fernsehstation
GL,Erzeugungsobjekt für kontinuierlich laufende Geräte
GL,Kontinuierliches beförderungsobjekt
GL,Gurtförderer
GL,Kettenförderer
GL,Förderband
GL,Rolltreppe
GL,Paternoster
GL,Rollenförderer
GL,Förderschnecke
GL,Vibrationsförderer
GM,Erzeugungsobjekt für nicht kontinuierlich laufende Geräte
GM,Nicht kontinuierliches Beförderungsobjekt
GM,Kran
GM,Aufzug
GM,Hub
GM,Palletiergerät
GM,Stapelgerät
GM,Drehscheibe
GM,Vibrationsförderer
GM,Wagen
GP,Erzeugungsobjekt für Flüssigkeiten
GP,Flüssigkeitsstromerzeugungsobjekt
GP,axiale Strömungspumpe
GP,Zentrifugalpumpe
GP,Strahlpumpe
GP,Laufrad
GP,Strömungspumpe
GP,Schmiervorrichtung
GP,Öler
GP,Peristaltikpumpe
GP,Kolbenpumpe
GP,Verdrängerpumpe
GP,radialeströmungspumpe
GP,Rotationspumpe
GP,Schraubpumpe
GP,Vakuumpumpe
GQ,Erzeugungsobjekt für Gas
GQ,Gasstromerzeugungsobjekt
GQ,Luftvorhang
GQ,geschlossener Propellerlüfter
GQ,Gaskompressor
GQ,Gasstrahler
GQ,mechanischer Lüfter
GQ,offener Propellerlüfter
GQ,Propeller
GQ,Käfigläuferlüfter
GQ,Ventilator
GR,Erzeugungsobjekt für durch Solarenergie erzeugte Wärmeenergie
GR,Erzeugungsobjekt für durch Solarenergie erzeugte Wärmeenergie
GR,Flachsolarmodul
GR,Solarmodul
GR,Solarturm
HJ,Stoffbearbeitungsobjekt durch Urformen
HJ,Urformobjekt
HJ,3D Drucker
HJ,Gießwerkzeug
HJ,Spanplattenpresse
HJ,Presse
HJ,Sinterpresse
HK,Stoffbearbeitungsobjekt für Oberflächenbehandlung
HK,Oberflächenbehandlungsobjekt
HK,Luftpistole
HK,Eloxierer
HK,Poliermaschine
HK,Geschirrspüler
HK,elektrostatische Beschichtungsmaschine
HK,Hämmermaschine
HK,Staubsauger
HK,Ölbeschichtungsmaschine
HK,Polierer
HK,Sandpapier
HK,Dusche
HK,Oberflächenbeschichtungsmaschine
HK,Oberflächenbearbeitungsmaschine
HK,Oberflächenvorbereitungsmaschine
HK,Ultraschall Entfetter
HK,Dampf Entfetter
HK,Fensterwischer
HK,Drahtbürste
HL,Stoffbearbeitungsobjekt durch Fügen oder Montieren
HL,Montierobjekt
HL,Montageroboter
HL,chemische Fügemaschine
HL,Crimpmaschine
HL,Lichtbogenschweißgerät
HL,Reibschweißmaschine
HL,Klebemaschine
HL,Induktionslötmaschine
HL,mechanische Fügemaschine
HL,Druckschweißer Kaltschweißer
HL,Lötmaschine
HL,Thermoschweißmaschine
HL,Ultraschallschweißmaschine
HM,Stoffbearbeitungsobjekt zum erzwungenen Trennen vermischter Substanzen
HM,Krafttrennobjekt
HM,Zentrifuge
HM,Zyklon
HM,Hydrozyklon
HM,Absetzbecken
HP,Stoffbearbeitungsobjekt zum thermischen Trennen vermischter Substanzen
HP,Thermisches Trennobjekt
HP,Destilliergerät
HP,Destillationskolonne
HP,Trockner
HP,Verdampfer
HQ,Stoffbearbeitungsobjekt zum mechanischen Trennen vermischter Substanzen
HQ,Mechanisches Trennobjekt
HQ,Beutelfilter
HQ,Filter
HQ,Rechen
HQ,Trenngitter
HQ,Sack
HQ,Abstreifer
HR,Stoffbearbeitungsobjekt zum elektromagnetischen Trennen vermischter Substanzen
HR,Elektrisches oder magnetisches Trennobjekt
HR,Elektrostatischer Filter
HR,elektrostatischer Separator
HR,magnetischer Separator
HS,Stoffbearbeitungsobjekt zum chemischen Trennen von vermischten Substanzen
HS,Chemisches Trennobjekt
HS,Absorber
HS,Absorptionswaschgerät
HS,Adsorber
HS,Elektrolysator
HS,Ionenaustauscher
HU,"Stoffbearbeitungsobjekt, mit dem festes Material zerkleinert wird"
HU,Schleif und Zerkleinerungsobjekt
HU,Schneidmaschine
HU,Zerkleinerungsmaschine
HU,Getreidemühle
HU,Mühle
HU,Steinbrecher
HU,Abfallzerkleinerer
HU,Wassermühle
HV,"Stoffbearbeitungsobjekt, mit dem größere Formen von Material erzeugt werden"
HV,Anhäufungsobjekt
HV,Flokkulationsapparat
HV,Flokkulator
HV,Pelletiergerät
HW,"Stoffbearbeitungsobjekt, mit dem verschiedene Substanzen gemischt werden"
HW,Mischobjekt
HW,Luftbefeuchter
HW,Knetmaschine
HW,Mischgerät
HX,"Stoffbearbeitungsobjekt, mit dem durch chemische oder biologische Reaktion neues Material erzeugt wird"
HX,Reaktionsobjekt
HX,Chemiereaktor
HX,Fermentiergerät
HX,Vergaser
KE,Informationsverarbeitendes Objekt zur Verarbeitung elektrischer Signale
KE,Elektrische Signale verarbeitendes Objekt
KE,Kartenschreibgerät
KE,zentrale Verarbeitungseinheit CPU
KE,Kommunikationsgerät
KE,CD Brenner
KE,Computer
KE,Datennetz Gateway
KE,Distanzschutz und steuereinheit
KE,Ethernet Karte
KE,Firewall
KE,Fire Wire Karte
KE,I/O Gerät
KE,I/O Modul
KE,Schreibgerät füroptische Platten
KE,Pc
KE,persönlicher Computer
KE,speicherprogrammierbare Steuerung SPS
KE,optischer CD Brenner
KE,Fernbedienungsmodul RTU
KE,Router
KE,Sicherheitsgerät
KE,Synchronisierungsgerät
KE,Synchronisierungsrelais
KE,Tabletcomputer
KE,Tonbandgerät
KE,Usbkarte
KF,Informationsverarbeitendes Objekt zur Weiterleitung elektrischer Signale
KF,Elektrische Signale weiterleitendes Objekt
KF,Koppler
KF,elektrische Netzwerkbrücke
KF,elektrischer Netzwerkschalter
KF,Repeater
KF,Relais
KF,Zeitrelais
KG,Informationsverarbeitendes Objekt für optische Signale
KG,Optisches Signalobjekt
KG,optischer Netzwerkschalter
KG,optischer Verstärker
KG,optischerrouter
KH,Informationsverarbeitendes Objekt für fluidische Signale
KH,Fluidisches Signalobjekt
KH,Flüssigkeitsregler
KH,Pilotventil
KJ,Informationsverarbeitendes Objekt für mechanische Signale
KJ,Mechanisches Signalobjekt
KJ,Schließzylinder
KJ,Schlüsselcode Gerät
KJ,mechanischer Regler
KZ,Informationsverarbeitendes Objekt für mehrere Signale
KZ,Mehrfachsignalobjekt
KZ,Mehrfachschalter
MA,"Antriebsobjekt in Form von Drehmoment, angetrieben durch elektromagnetische Kraft"
MA,Elektromagnetisches rotationsantriebsobjekt
MA,Wechselstrommotor
MA,Asynchronmotor
MA,Gleichstrommotor
MA,Elektromotor
MA,Induktionsmotor
MA,PM Motor
MA,Servomotor
MA,Schrittmotor
MA,Synchronmotor
MB,"Antriebsobjekt in Form von linearer Kraft, angetrieben durch elektromagnetische Kraft"
MB,Elektromagnetisches linearantriebsobjekt
MB,Stellantrieb
MB,Elektromagnet
MB,Linearmotor
MB,Magnetventil
MC,"Antriebsobjekt, angetrieben durch magnetische Kraft"
MC,Magnetkraftantriebsobjekt
MC,Permanentmagnet
MD,"Antriebsobjekt, angetrieben durch piezoelektrische Kraft"
MD,Piezoelektrisches antriebsobjekt
MD,Piezoelektrischer Stellantrieb
MD,piezoelektrischer Motor
ML,"Antriebsobjekt, angetrieben durch mechanische Energie"
ML,Durch mechanische Energie angetriebenes Objekt
ML,elastischer Energieantrieb
ML,Gasturbine
ML,Gravitationsenergieantrieb
ML,Achterbahn
ML,Federantrieb
ML,Wasserturbine
ML,Windturbine
MM,"Antriebsobjekt, angetrieben durch Flüssigkeitsverdrängung oder Druck"
MM,Flüssigkeitsbetriebenes Objekt
MM,Hydraulikzylinder
MM,Hydraulikmotor
MM,Pneumatikzylinder
MM,Pneumatikmotor
MS,"Antriebsobjekt, angetrieben durch Verbrennung von Brennstoffen"
MS,Verbrennungsmotor
MS,Dieselmotor
MS,Ottomotor
MS,Wankelmotor
MT,"Antriebsobjekt, angetrieben durch eine externe Wärmequelle"
MT,Wärmemaschine
MT,Dampfmotor
MT,Stirling Motor
NB,Abdeckungsobjekt durch Schließen einer Öffnung
NB,Schließungsobjekt
NB,Gehäuseklappe
NB,Kabinentür
NB,Schranktür
NB,Türblatt
NB,Blende
NB,Tankdeckel
NB,Türflügel
NB,Luckendeckel
NB,Gehäusedeckel
NB,Wartungsklappe
NB,Flügel einer großen Tür
NC,Abdeckungsobjekt durch Abschlussstrukturen
NC,Abschlussobjekt
NC,Luftfahrzeugverkleidung
NC,Luftfahrzeugbeplankung
NC,Rumpfverkleidung
NC,Kraftfahrzeugkarosserieteile
NC,Deckenschicht
NC,Cockpitverkleidung
NC,Bodenbelag
NC,Rasenboden
NC,Motorradverkleidung
NC,Bepflasterung
NC,Pflanzenmatte
NC,Bedachung
NC,unbelastete Rumpfplatte
NC,Wandverkleidung
NC,Fensterbrett
NC,Fenstersims
ND,Abdeckungsobjekt zum Abschließen eines anderen Objekts
ND,Abschließungsobjekt
ND,Ortgang
ND,Deckenabschluss
ND,Krone
ND,Aufsatzkante
ND,Stirnbrett
ND,Umbördelung
ND,Rasenkante
ND,Pflanzenbeetkante
ND,Zwischenbodenkante
ND,Wandoberseite
NE,Abdeckungsobjekt zum Verdecken von Fugen und Übergängen
NE,Verdeckungsobjekt
NE,Architrav
NE,Sockelleiste
NE,Muffe
NE,Deckenverkleidung
NE,Traufe
NE,Abdeckblech
NE,Auskleidung
NE,Dachabdeckung Sockelbrett
NE,Wandeckenauskleidung
PF,Präsentierobjekt in sichtbarer Form diskreter Zustände
PF,Sichtbare Zustandsanzeige
PF,Stellungsanzeiger
PF,Signallampe
PF,Ampel
PG,Präsentierobjekt in sichtbarer Form einer einzelnen Skalarvariablen
PG,Skalaranzeige
PG,Amperemeter
PG,Winkelanzeige
PG,Audiospektrometer
PG,Barometer
PG,Taktgeber
PG,Konzentrationsanzeige
PG,Cosphimeter
PG,Dichteanzeige
PG,Maßanzeige
PG,Elektromagnetwellenanzeige
PG,Energiezähler
PG,Feldindikator
PG,Durchflusszähler
PG,Kraftanzeige
PG,Frequenzmessgerät
PG,Feuchteanzeige
PG,Hygrometer
PG,Füllstandsanzeige
PG,Manometer
PG,Positionsanzeige
PG,Druckanzeige
PG,Mengenmessgerät
PG,Widerstandsanzeige
PG,Schauglas
PG,Temperaturanzeige
PG,Blindverbrauchszähler
PG,Blindleistungsmessgerät
PG,Voltmeter
PG,Wattstundenzähler
PG,Wattmeter
PH,"Präsentierobjekt in sichtbarer Form durch Bilder, Symbole, Text oder physikalische Eigenschaften"
PH,Grafische Anzeige
PH,Tafel
PH,Bildschirm
PH,Zeichnung
PH,Markierungsstelle
PH,Drucker
PH,Projektor
PH,Referenzpunkt
PH,Schild
PH,Verkehrszeichen
PH,Whiteboard
PJ,Präsentationsobjekt in hörbarer Form
PJ,Akustisches Gerät
PJ,Glocke
PJ,Hupe
PJ,Lautsprecher
PK,Präsentationsobjekt in taktiler Form
PK,Taktiles Gerät
PK,Braillezeichen
PK,Warnung zu lichter Höhe
PK,Straßenrillen
PK,Rüttler
PL,Präsentationsobjekt in Ornamentform
PL,Ornamentobjekt
PL,Teppich
PL,Sims
PL,Figur
PL,Fries
PL,Bild
PL,Pilaster
PL,Stuck
PZ,Präsentationsobjekt in mehreren Formen
PZ,Mehrfachpräsentierobjekt
PZ,Audiovisueller Alarm
PZ,Fernsehgerät
QA,Steuerobjekt für elektrischen Strom in einem Schaltkreis
QA,Stromsteuerungsobjekt
QA,Schütz
QA,Leistungsschalter
QA,Defibrillator
QA,elektronischerleistungsschalter
QA,Motoranlasser
QA,Solidstateleistungstransistor
QA,Thyristor
QA,Röhrenleistungstransistor
QB,Steuerobjekt durch Trennen elektrischer Stromkreise
QB,Elektrisches Trennobjekt
QB,Trennschalter
QB,Sicherungstrennschalter
QB,gesicherter Trennschalter
QB,sicherungsloser Trennschalter
QB,Lasttrennschalter
QB,Sicherungslasttrennschalter
QC,Steuerobjekt durch Erdung elektrischer Stromkreise
