Beispiel,Kennzeichen
Gesichtserkennungsgerät,BXD
Fingerabdruckleser,BXD
Iris-Scanner,BXD
Bilderkennungsgerät,BXD
Chipkartenlesegerät,BYA
Zutrittsleser,BYA
RFID Lesegerät,BYA
Magnetstreifen Lesegerät,BYA
Personenzähler,BZA
Personendetektor,BZA
Präsenzdetektor nicht Bewegungsmelder,BZC
Wärmespeicher,CPA
Lampe,EAA
Lichtquelle,EAA
Elektrokessel,EBA
Mischkammer,EBC
Heizkessel,EMB
Gaskessel,EMB
Dampfkessel,EMB
Brenner,EMB
Heizkessel Schnittstelle,EMB
Brenner Schnittstelle,EMB
Lufterwärmer,EPB
Nacherwärmer,EPB
Vorerwärmer,EPB
Wasservorerwärmer,EPB
Verdampfer,EQB
Kondensator,EQB
Rückkühleinheit,EQB
Gebläsekonvektor,EQC
Ventilator,EQC
Luftkühler,EQD
Motorschutzschalter,FCB
Pumpe,GP_
Zirkulationspumpe,GPA
Warmwasserpumpe,GPH
Kondensatpumpe,GPH
Primärpumpe ,GPH
Sekundärpumpe,GPH
WRG-Pumpe,GPH
Kaltwasserpumpe,GPK
Kühlwasserpumpe,GPK
Kühlerpumpe,GPL
Erwärmerpumpe Nacherhitzer,GPL
Erwärmerpumpe Vorerhitzer,GPL
Kompressor,GQA
Kälteverdichter,GQA
Gaskompressor,GQA
Ventilator,GQB
Abluftventilator,GQB
Doppelventilator,GQB
Fortluftventilator,GQB
Luftheizer,GQB
Aussenluftventilator,GQB
Ventilatorregler,GQB
Umluftventilator,GQB
Zuluftventilator,GQB
Filter,HQB
Abluftfilter,HQB
Elektrofilter,HQB
Fortluftfilter,HQB
Aussluftfilter,HQB
Umluftfilter,HQB
Zuluftfilter,HQB
Befeuchter,HWB
Dampfbefeuchter,HWB
Ultraschallbefeuchter,HWB
Automationsstation,KEB
WLAN-Router,KED
Tasterschnittstelle,KFE
Volumenstromregler,KJA
Volumenstromregler Abluft,KJA
Volumenstromregler Fortluft,KJA
Volumenstromregler Aussenluft,KJA
Volumenstromregler Raum,KJA
Volumenstromregler Zuluft,KJA
Schliesszylinder,KJB
Jalousiemotor,MAA
Jalousieaktor,MAA
Fensterantrieb,MBA
"Ventilantrieb, Stellantrieb",MBB
Thermoaktor,MDA
Display,PHA
Raumpanel,PHA
Blitzleuchte,PZA
Alarmindikator,PZA
Sicherung,QBB
Absperrventil,QMA
Ventil,QN_
Frischwasserventil,QNA
Kühlventil,QNA
Kaltwasserventil,QNA
Kühlwasserventil,QNA
Warmwasserventil,QNA
Mischventil,QNA
Deckenheizventil,QNA
Deckenventil,QNA
Deckenkühlventil,QNA
Steuerklappe,QNB
Gassteuerventil,QNB
Klappe,RNB
Volumenstromregler VVS,RNB
Abluftklappe,RNB
Abluft Volumenstromregler,RNB
Bypassklappe,RNB
Entrauchungsklappe,RNB
Fortluftklappe,RNB
Klappe Schnittstelle,RNB
Mischluftklappe,RNB
Aussenluftklappe,RNB
Absperrklappe,RNB
Umluftklappe,RNB
Absperrklappe Ventilator,RNB
Zuluftklappe,RNB
Zuluft-Volumenstromregler,RNB
Zutrittsverwaltungsgerät,RUC
Drehkreuz ,RUC
Notfallknopf,SGC
Handmelder,SGC
Feuermelder manuell,SGC
Druckknopfmelder ,SGC
Kippschalter,SJA
Schalter,SJA
Taster ,SJB
Jalousietaster,SJB
Raumbediengerät,SJC
Bediengerät,SJC
Raumbediengerät,SJC
Frequenzumrichter,TAC
Stromwandler,TBA
Stromversorgung,TBA
Stromrichter,TBA
Bluetooth-Empfänger,TFB
Koppler,TFC
Druckmessumformer,TFC
Differenzdruck Messumformer,TFC
Leuchte,UAC
Kabeltrasse,UBA
Abzug,UCC
Laborabzug,UCC
Kabel,WG_
Klemmdose,XDB
Elektromotorischer Drehantrieb,MAA
Elektromotorischer Stellantrieb,MBA
Raum-Controller,UCA
BACnet Router,KED
Gateway,KED
Luftkanalqualitätsfühler,BQA
Dimmer,QAC
Kabeltemperaturfühler,BTA
Luftkanaldruckdifferenzfühler,BPC
Luftkanaltemperaturfühler,BTA
