Beispiel,Kennzeichen
 Differenzialdrucksensor,BP
 Differenzialdruckschalter,BP
Differenzialdruckmesswertgeber,BP
 Manometer,BP
 Druckwächter,BP
Drucksensor,BP
 Druckschalter,BP
 Druckaufnehmer,BP
 Relativdruckdetektor,BP
Relativdrucksensor,BP
 Relativdrucksensor,BP
"Erkennungsobjekt für
Substanzkonzentration",BQ
Konzentrationserkennungsobjekt,BQ
CO-Konzentrationssensor,BQ
 CO_{2} -Konzentrationssensor,BQ
 Konzentra-tionssensor,BQ
 Konzentrationserkennungsschalter,BQ
 Nebeldetektor,BQ
Nebelsensor,BQ
 Gaskonzentrationsdetektor,BQ
 Gaskonzentrationsmess-gerät,BQ
 Flüssigkeitskonzentrationsdetektor,BQ
 Flüssigkeitskonzentra-tionsmessgerät,BQ
 NH_{3} -Konzentrationssensor,BQ
 Benzinkonzentra-tionssensor,BQ
 Rauchdetektor,BQ
 Rauchsensor,BQ
 Rauchschalter,BQ
 Fest-stoffkonzentrationsdetektor,BQ
 Feststoffkonzentrationsmessgerät,BQ
Trübedetektor,BQ
 Trübesensor,BQ
 Sichtbarkeitsdetektor,BQ
 Sichtbarkeits-sensor,BQ
Erkennungsobjekt für Strahlung,BR
Strahlungserkennungsobjekt,BR
Elektromagnetwellendetektor,BR
 Messgerät für elektromagnetischeWellen,BR
 Geigerzähler,BR
 Gammastrahlungsdetektor,BR
 IR-Sensor,BR
 Licht-schranke,BR
 Lichtdetektor,BR
 Lichtmessgerät,BR
 Lichtsender,BR
 Leitungs-detektor,BR
 Dämmerungsschalte,BR
r Lux-Sensor,BR
 Fotozelle,BR
Radarsensor,BR
 Strahlungsmessgerät,BR
 Strahlungsdetektor,BR
 UV-Sensor,BR
Erkennungsobjekt für Zeitbereich,BS
Zeitbereicherkennungsobjekt,BS
Beschleunigungsaufnehmer-Relais,BS
 Beschleunigungsmess-wertgeber,BS
 Taktraten-Erkennungsschalter,BS
 Taktratensensor,BS
 Takt-ratenmesswertgeber,BS
 Frequenzmesswertgeber,BS
 Bewegungsdetek-tor,BS
 Bewegungsmesswertgeber,BS
 Drehgeschwindigkeitsrelais,BS
 Dreh-geschwindigkeitssensor,BS
 seismischer Sensor,BS
 seismischer Schal-ter,BS
 Vibrationsschalter,BS
 Geschwindigkeitserkennungsschalter,BS
 Ge-schwindigkeitsmesswertgeber,BS
 Geschwindigkeitssensor,BS
 Dreh-zahlmessgerät,BS
Erkennungsobjekt für Temperatur,BT
Temperaturerkennungsobjekt,BT
Temperaturdetektor,BT
 Temperatursensor,BT
 Temperaturschalter,BT
Temperaturmesswertgeber,BT
Erkennungsobjekt für mehrere Mengen,BU
Mehrfacherkennungsobjekt,BU
Buchholz-Relais,BU
 Distanzschutzrelais,BU
 Impedanzschutzrelais,BU
Mehrfachdetektor,BU
 Mehrfachmesssensor,BU
 Mehrfachsensorschalter,BU
Gegenphasenfolgerelais,BU
"Erkennungsobjekt für Gewicht, Kraft oder
Drehmoment",BW
Krafterkennungsobjekt,BW
Krafterkennungsschalter,BW
 Kraftsensor,BW
 Kraftmesswertgeber,BW
 Last-zelle,BW
 Drehmomentsensor,BW
 Drehmomentschalter,BW
 Drehmoment-messwertgeber,BW
 Gewichtserkennungsschalter,BW
 Gewichtssensor,BW
Gewichtsmesswertgebersender,BW
"Erkennungsobjekt für Ton und/oder äußeres
Erscheinen",BX
Audiovisuelles Erkennungs-objekt,BX
Alarmmikrofon,BX
 Akustikdetektor,BX
 Akustiksensor,BX
 Akustiküberwa-chungsgerät,BX
 Kamera,BX
 CCTV,BX
 Gesichtserkennungsgerät,BX
 Fin-gerabdruckleser,BX
 Glasbruchsensor,BX
 Bildgeber,BX
 Bilderkennungs-gerät,BX
 Iris-Scanner,BX
 Mikrofon,BX
 Profilkontrolle,BX
 PTZ-Kamera,BX
Scanner,BX
 Videokamera,BX
"Erkennungsobjekt für gespeicherte
Informationen",BY
Informationserkennungsobjekt,BY
Barcode-Lesegerät,BY
 Chipkarten-Lesegerät,BY
 Chip-Lesegerät,BY
elektromagnetisches Lesegerät,BY
 Magnetstreifenlesegerät,BY
 Lese-gerät für optische Platten,BY
 optisches Lesegerät,BY
 RFC-Lesegerät,BY
RFID-Lesegerät,BY
 QR-Lesegerät,BY
 Lochstreifenlesegerät,BY
"Erkennungsobjekt für Ereignisse bzw.
Mengen",BZ
Ereigniserkennungsobjekt,BZ
Zähler,BZ
 Stoffdetektor,BZ
 Personendetektor,BZ
 Präsenzdetektor,BZ
 Über-gangszähler,BZ
"Objekt zum Speichern für ein späteres
Abrufen",C
Speicherobjekt,C
"Speicherobjekt für elektrische Energie
innerhalb eines elektrostatischen Felds",CA
Kapazitives Speicherobjekt,CA
Kondensator,CA
"Speicherobjekt für elektrische Energie
innerhalb eines elektromagnetischen Felds",CB
Induktives Speicherobjekt,CB
Drosselspule,CB
"Speicherobjekt für elektrische Energie
innerhalb eines elektrochemischen Stoffes",CC
Elektrochemisches Speicher-objekt,CC
Wiederaufladbare Batterie,CC
Speicherobjekt für Informationen,CF
Informationsspeicherobjekt,CF
Informationsspeichermedien,CF
 Sitz,CF
"Speicherobjekt für Stoffe oder Personen
innerhalb einer stationären offenen
Umschließung",CL
Offenes stationäres Speicher-objekt,CL
Bett,CL
 Bunker,CL
 Stuhl,CL
 Zisterne,CL
 Sofa,CL
 Schacht,CL
 Becken,CL
 Ablagefach,CL
"Speicherobjekt für Stoffe innerhalb einer
stationären geschlossenen Umschließung",CM
"Geschlossenes stationäres
Speicherobjekt",CM
Behälter,CM
 Gehäuse,CM
 Schrank,CM
 Tank,CM
"Speicherobjekt für Stoffe oder Personen
innerhalb einer beweglichen geschlossenen
Umschließung",CN
Bewegliches Speicherobjekt,CN
Container,CN
 Trommel,CN
 Becher-Hebeanlage,CN
 Baggerladeschaufel,CN
Gasflasche,CN
 Aufzugskabine,CN
Speicherobjekt für Wärmeenergie,CP
Wärmeenergie-Speicherobjekt,CP
Wassererwärmer,CP
 kristalliner Behälter,CP
 Gasbehälter,CP
 Flüssigkeits-behälter,CP
 Stoffbehälter,CP
Speicherobjekt für mechanische Energie,CQ
"Speicherobjekt für
mechanische Energie",CQ
Gegengewicht,CQ
 angehobene Masse,CQ
 Schwungrad,CQ
 Gummiband,CQ
Feder,CQ
Objekt zum Aussenden,E
Aussendeobjekt,E
Aussendeobjekt für Licht,EA
Lichtobjekt,EA
Argonlampe,EA
 Elektrolumineszenzgeräte,EA
 elektrische Leuchte,EA
Leuchtstofflampe,EA
 Leuchtstoffröhre,EA
 Gaslampe,EA
 Glühlampe,EA
 Lampe,EA
Lampenbirne,EA
 Laser,EA
 Flüssigkeitslampe,EA
 Neonlampe,EA
 Paraffinlampe,EA
"Aussendeobjekt für durch elektrische
Energie erzeugte Wärme",EB
Elektroheizobjekt,EB
Lichtbogen-Heizungsobjekt,EB
 Elektrolichtbogenofen,EB
 Elektrokessel,EB
elektrische Heizfläche,EB
 Elektroheißluftgebläse,EB
 Elektroofen,EB
Bratplatte,EB
 Heizkabel,EB
 Heizmatte,EB
 Induktionsheizung,EB
 Induktionsofen,EB
Infrarot-Heizung,EB
 Sauna,EB
"Aussendeobjekt für durch elektrische
Energie erzeugte Kälte",EC
Elektrokühlobjekt,EC
Kompressionskältemaschine,EC
 Elektrokaltluftgebläse,EC
 elektrischeKühloberfläche,EC
Aussendeobjekt für drahtlose Energie,EE
Drahtlosenergie-Objekt,EE
kapazitiver Koppler,EE
 Gammastrahlenquelle,EE
 induktive Antenne,EE
Magnetron,EE
 Maser,EE
 Mikrowellenofen,EE
 Röntgenstrahlenquelle,EE
"Aussendeobjekt für durch Wärmeenergie
übertragene Wärme und Kälte",EG
Wärmeenergie-Übertragungs-objekt,EG
Gefriergerät,EG
 Kühlschrank,EG
 Wärmetauscher,EG
 Wärmepumpe,EG
 Peltier-Element,EG
 Kühlcontainer,EG
 Kühlregal,EG
 reversible Wärmepumpe,EG
"Aussendeobjekt für durch Verbrennung
erzeugte Wärme",EM
Verbrennungsheizobjekt,EM
Kochplatte,EM
 Feuerungskessel,EM
 Herd,EM
"Aussendeobjekt für durch Wärmeenergie
erzeugte Wärme",EP
Wärmeheizobjekt,EP
Kondensator,EP
 Heizspule,EP
 Heizplatte,EP
 Heizrohr,EP
 Heizfläche,EP
 Heizröhre,EP
Heißluftgebläse,EP
 Radiator,EP
"Aussendeobjekt für durch Wärmeenergie
erzeugte Kälte",EQ
Thermal-Kühlobjekt,EQ
Gebläsekühleinrichtung,EQ
 Kondensator,EQ
 Kühler,EQ
 Kühlspule,EQ
 Kühlplatte,EQ
Kühlrohr,EQ
 Kühloberfläche,EQ
 Kühlturm,EQ
 Kühlröhre,EQ
 Verdampfer,EQ
"Aussendeobjekt für durch Kernspaltung
erzeugte Wärme",ET
Nuklearenergie-Wärmeobjekt,ET
Siedewasserreaktor,ET
 gasgekühlter Hochtemperaturreaktor,ET
 Kugel-haufenreaktor,ET
 Druckwasserreaktor,ET
Aussendeobjekt für subatomare Partikel,EU
Partikelaussendeobjekt,EU
Alphastrahlengerät,EU
 Betastrahlengerät,EU
 Neutronenstrahlengerät,EU
Partikelgenerator,EU
 Plasmagenerator,EU
Aussendeobjekt für Schallwellen,EV
Schallwellenaussendeobjekt,EV
Lautsprecher zur Geräuschunterdrückung,EV
 Sonar,EV
"Objekt zum Schutz vor den Auswirkungen
gefährlicher oder unerwünschter
Bedingungen",F
Schutzobjekt,F
Schutzobjekt bei Überspannung,FA
Überspannungsschutzobjekt,FA
Begrenzer,FA
 Funkenstrecken-Überspannungsableiter,FA
 Überspan-nungsschutz,FA
 Varistor-Überspannungsschutz,FA
 Zener-Diode,FA
Schutzobjekt bei Erdschlussströme,FB
Erdschlussstrom-Schutzobjekt,FB
Fehlerstromschutzschalter (FI-Schalter),FB
 Erdschluss-Schutzschal-ter,FB
 Fehlerspannungsschutzschalter (FU-Schalter),FB
 FI-Schutzschal-ter,FB
 Fehlerschutzschalter,FB
 neutraler Erdungswiderstand,FB
 Erd-schlussstrom-Begrenzer,FB
 neutraler Erdungsreaktor,FB
 Petersen-Spule,FB
 Fehlerstromschutzschalter (RCCB),FB
 Fehlerstromgerät,FB
Schutzobjekt bei Überströme,FC
Überstromschutzobjekt,FC
Bimetall,FC
 Bimetall-Schaltkreis,FC
 Sicherung,FC
 Leistungsschutzschalter,FC
thermische Überlastauslösung,FC
 thermisches Überlastrelais,FC
"Schutzobjekt bei elektrische und/oder
magnetische Felder",FE
Feldschutzobjekt,FE
Betonwand,FE
 elektrische Feldabschirmung,FE
 elektromagnetischerFeldabschirmungs-Faradaykäfig,FE
 Bleiblock,FE
 Metallbleche,FE
 Magnet-feldabschirmung,FE
 Mu-metallische Abschirmung,FE
Schutzobjekt bei Drücke,FL
Druckschutzobjekt,FL
Ausdehnungsbehälter,FL
 Ausdehnungsgefäß,FL
 Berstscheibe,FL
 Sicher-heitsdämpfer,FL
 Sicherheitsarmatur,FL
 Rückschlagventil gegen Vakuum,FL
Schutzobjekt bei Feuer,FM
Brandschutzobjekt,FM
Brand- und Gasschutzklappe,FM
 Brandschutzblende,FM
 Brandschutz-klappe,FM
 Feuerlöscher,FM
 Gasschutzklappe,FM
 Brandschutzimprägnie-rung,FM
 Brandisolierung,FM
 Brandschutzbeschichtung,FM
 feuerabweisendeBeschichtung,FM
 Rauchschutzverschluss,FM
 Rauchschutzvorhang,FM
Schutzobjekt bei mechanischer Kraft,FN
"Objekt zum Schutz vor
mechanischer Kraft",FN
Kabelschutz,FN
 Stoßschutz,FN
 Sicherheitskupplung,FN
Schutzobjekt durch Barriere oder Hindernis,FQ
Vorbeugendes Schutzobjekt,FQ
Bruchschutz,FQ
 Blendschutz,FQ
 Gleitschutz,FQ
 Schutzgeländer,FQ
 Handlauf,FQ
Lukenschloss,FQ
 Schutzgewebe,FQ
 Schutzgitter,FQ
 Schutznetz,FQ
 Schutz-schiene,FQ
 Schutzstange,FQ
 Schutzdach,FQ
 Schneeschutz,FQ
 Spritzschutz,FQ
Aufhängungsschutz,FQ
Schutzobjekt bei Materialerosion,FR
Verschleißschutzobjekt,FR
Schmierobjekt,FR
 Schmieröl,FR
 Verschleißschutz,FR
"Schutzobjekt in Bezug auf die lokale
Umgebung",FS
Umgebungsschutzobjekt,FS
Lawinenschutzkonstruktion,FS
 kathodischer Schutz,FS
Korrosionsschutz,FS
 Zement,FS
 Gebäude,FS
 Imprägnierung,FS
Imprägnierungsplatte,FS
 materialtrennende Lackschicht,FS
 Lack,FS
 Mörtel,FS
Gips,FS
 Schutzversiegelung,FS
 Überwachungsgerät für seismischeSchwingungen,FS
 Opferanode,FS
 Schuppen,FS
 Unterstand,FS
 Schneefang,FS
"Objekt zur Bereitstellung eines steuerbaren
Durchflusses",G
Erzeugungsobjekt,G
"Erzeugungsobjekt für durch mechanische
Energie erzeugte elektrische Energie",GA
"Erzeugungsobjekt für
elektrische Energie durch
mechanische Energie",GA
Wechselstromgenerator,GA
 Gleichstromgenerator,GA
 Dynamo,GA
Generator,GA
"Erzeugungsobjekt für durch chemische
Reaktion erzeugte elektrische Energie",GB
"Erzeugungsobjekt für
elektrische Energie durch
chemische Energie",GB
Batterie,GB
 Elektrobatterie,GB
 Brennstoffzelle,GB
"Erzeugungsobjekt für durch Solarenergie
erzeugte elektrische Energie",GC
"Erzeugungsobjekt für
elektrische Energie durch
Sonnenenergie",GC
kristallines Photovoltaik-Modul,GC
 Solarzelle,GC
 Dünnschicht-Photo-voltaik-Modul,GC
"Erzeugungsobjekt von Signalen für
Informationsträger",GF
Signalerzeugungsobjekt,GF
Elektromagnetwellenmesswertgeber,GF
 Lasermesswertgeber,GF
 Radio-wellenmesswertgeber,GF
 Signalerzeuger,GF
 Fernsehstation,GF
"Erzeugungsobjekt für kontinuierlich
laufende Geräte",GL
"Kontinuierliches
Beförderungsobjekt",GL
Gurtförderer,GL
 Kettenförderer,GL
 Förderband,GL
 Rolltreppe,GL
 Paternoster,GL
Rollenförderer,GL
 Förderschnecke,GL
 Vibrationsförderer,GL
"Erzeugungsobjekt für nicht kontinuierlich
laufende Geräte",GM
"Nicht kontinuierliches
Beförderungsobjekt",GM
Kran,GM
 Aufzug,GM
 Hub,GM
 Palletiergerät,GM
 Stapelgerät,GM
 Drehscheibe,GM
Vibrationsförderer,GM
 Wagen,GM
Erzeugungsobjekt für Flüssigkeiten,GP
Flüssigkeitsstrom-Erzeugungsobjekt,GP
axiale Strömungspumpe,GP
 Zentrifugalpumpe,GP
 Strahlpumpe,GP
Laufrad,GP
 Strömungspumpe,GP
 Schmiervorrichtung,GP
 Öler,GP
Peristaltikpumpe,GP
 Kolbenpumpe,GP
 Verdrängerpumpe,GP
 radialeStrömungspumpe,GP
 Rotationspumpe,GP
 Schraubpumpe,GP
Vakuumpumpe,GP
Erzeugungsobjekt für Gas,GQ
Gasstrom-Erzeugungsobjekt,GQ
Luftvorhang,GQ
 geschlossener Propellerlüfter,GQ
 Gaskompressor,GQ
Gasstrahler,GQ
 mechanischer Lüfter,GQ
 offener Propellerlüfter,GQ
Propeller,GQ
 Käfigläuferlüfter,GQ
 Ventilator,GQ
"Erzeugungsobjekt für durch Solarenergie
erzeugte Wärmeenergie",GR
"Erzeugungsobjekt für durch
Solarenergie erzeugte
Wärmeenergie",GR
Flachsolarmodul,GR
 Solarmodul,GR
 Solarturm,GR
Objekt zur Behandlung von Stoffen,H
Stoffbearbeitungsobjekt,H
Stoffbearbeitungsobjekt durch Urformen,HJ
Urformobjekt,HJ
3D-Drucker,HJ
 Gießwerkzeug,HJ
 Spanplattenpresse,HJ
 Presse,HJ
Sinterpresse,HJ
"Stoffbearbeitungsobjekt für
Oberflächenbehandlung",HK
Oberflächenbehandlungsobjekt,HK
Luftpistole,HK
 Eloxierer,HK
 Poliermaschine,HK
 Geschirrspüler,HK
 elektro-statische Beschichtungsmaschine,HK
 Hämmermaschine,HK
 Staub-sauger,HK
 Ölbeschichtungsmaschine,HK
 Polierer,HK
 Sandpapier,HK
Dusche,HK
 Oberflächenbeschichtungsmaschine,HK
 Oberflächen-bearbeitungsmaschine,HK
 Oberflächenvorbereitungsmaschine,HK
Ultraschall-Entfetter,HK
 Dampf-Entfetter,HK
 Fensterwischer,HK
 Draht-bürste,HK
"Stoffbearbeitungsobjekt durch Fügen oder
Montieren",HL
Montierobjekt,HL
Montageroboter,HL
 chemische Fügemaschine,HL
 Crimpmaschine,HL
Lichtbogenschweißgerät,HL
 Reibschweißmaschine,HL
 Klebema-schine,HL
 Induktionslötmaschine,HL
 mechanische Fügemaschine,HL
Druckschweißer (Kaltschweißer),HL
 Lötmaschine,HL
 Thermo-Schweißmaschine,HL
 Ultraschall-Schweißmaschine,HL
"Stoffbearbeitungsobjekt zum erzwungenen
Trennen vermischter Substanzen",HM
Krafttrennobjekt,HM
Zentrifuge,HM
 Zyklon,HM
 Hydrozyklon,HM
 Absetzbecken,HM
"Stoffbearbeitungsobjekt zum thermischen
Trennen vermischter Substanzen",HP
Thermisches Trennobjekt,HP
Destilliergerät,HP
 Destillationskolonne,HP
 Trockner,HP
 Verdampfer,HP
"Stoffbearbeitungsobjekt zum mechanischen
Trennen vermischter Substanzen",HQ
Mechanisches Trennobjekt,HQ
Beutelfilter,HQ
 Filter,HQ
 Rechen,HQ
 Trenngitter,HQ
 Sack,HQ
 Abstreifer,HQ
"Stoffbearbeitungsobjekt zum elektro-magnetischen Trennen vermischter
Substanzen",HR
"Elektrisches oder magnetisches
Trennobjekt",HR
Elektrostatischer Filter,HR
 elektrostatischer Separator,HR
magnetischer Separator,HR
"Stoffbearbeitungsobjekt zum chemischen
Trennen von vermischten Substanzen",HS
Chemisches Trennobjekt,HS
Absorber,HS
 Absorptionswaschgerät,HS
 Adsorber,HS
 Elektrolysator,HS
Ionenaustauscher,HS
"Stoffbearbeitungsobjekt, mit dem festes
Material zerkleinert wird",HU
"Schleif- und
Zerkleinerungsobjekt",HU
Schneidmaschine,HU
 Zerkleinerungsmaschine,HU
 Getreidemühle,HU
Mühle,HU
 Steinbrecher,HU
 Abfallzerkleinerer,HU
 Wassermühle,HU
"Stoffbearbeitungsobjekt, mit dem größere
Formen von Material erzeugt werden",HV
Anhäufungsobjekt,HV
Flokkulationsapparat,HV
 Flokkulator,HV
 Pelletiergerät,HV
"Stoffbearbeitungsobjekt, mit dem ver-schiedene Substanzen gemischt werden",HW
Mischobjekt,HW
Luftbefeuchter,HW
 Knetmaschine,HW
 Mischgerät,HW
"Stoffbearbeitungsobjekt, mit dem durch
chemische oder biologische Reaktion neues
Material erzeugt wird",HX
Reaktionsobjekt,HX
Chemiereaktor,HX
 Fermentiergerät,HX
 Vergaser,HX
"Objekt zur Verarbeitung von
Eingangssignalen und Bereitstellung eines
geeigneten Ausgangs",K
Informationsverarbeitungsobjekt,K
"Informationsverarbeitendes Objekt zur
Verarbeitung elektrischer Signale",KE
"Elektrische Signale
verarbeitendes Objekt",KE
Kartenschreibgerät,KE
 zentrale Verarbeitungseinheit (CPU),KE
Kommunikationsgerät,KE
 CD-Brenner,KE
 Computer,KE
 Datennetz-Gateway,KE
 Distanzschutz- und -steuereinheit,KE
 Ethernet-Karte,KE
Firewall,KE
 FireWire-Karte,KE
 I/O-Gerät,KE
 I/O-Modul,KE
 Schreibgerät füroptische Platten,KE
 PC,KE
 persönlicher Computer,KE
 speicherprogram-mierbare Steuerung (SPS),KE
 optischer CD-Brenner,KE
 Fernbedie-nungsmodul (RTU),KE
 Router,KE
 Sicherheitsgerät,KE
 Synchronisie-rungsgerät,KE
 Synchronisierungsrelais,KE
 Tablet-Computer,KE
Tonbandgerät,KE
 USB-Karte,KE
"Informationsverarbeitendes Objekt zur
Weiterleitung elektrischer Signale",KF
"Elektrische Signale
weiterleitendes Objekt",KF
Koppler,KF
 elektrische Netzwerkbrücke,KF
 elektrischer Netzwerk-schalter,KF
 Repeater,KF
 Relais,KF
 Zeitrelais,KF
"Informationsverarbeitendes Objekt für
optische Signale",KG
Optisches Signalobjekt,KG
optischer Netzwerkschalter,KG
 optischer Verstärker,KG
 optischerRouter,KG
"Informationsverarbeitendes Objekt für
fluidische Signale",KH
Fluidisches Signalobjekt,KH
Flüssigkeitsregler,KH
 Pilotventil,KH
"Informationsverarbeitendes Objekt für
mechanische Signale",KJ
Mechanisches Signalobjekt,KJ
Schließzylinder,KJ
 Schlüsselcode-Gerät,KJ
 mechanischer Regler,KJ
"Informationsverarbeitendes Objekt für
mehrere Signale",KZ
Mehrfach-Signalobjekt,KZ
Mehrfachschalter,KZ
"Objekt zur Erzeugung mechanischer
Bewegungen oder Kraft",M
Antriebsobjekt,M
"Antriebsobjekt in Form von Drehmoment,
angetrieben durch elektromagnetische Kraft",MA
"Elektromagnetisches
Rotationsantriebsobjekt",MA
Wechselstrommotor,MA
 Asynchron-Motor,MA
 Gleichstrommotor,MA
Elektromotor,MA
 Induktionsmotor,MA
 PM-Motor,MA
 Servomotor,MA
 Schritt-motor,MA
 Synchronmotor,MA
"Antriebsobjekt in Form von linearer Kraft,
angetrieben durch elektromagnetische Kraft",MB
"Elektromagnetisches
Linearantriebsobjekt",MB
Stellantrieb,MB
 Elektromagnet,MB
 Linearmotor,MB
 Magnetventil,MB
"Antriebsobjekt, angetrieben durch
magnetische Kraft",MC
Magnetkraft-Antriebsobjekt,MC
Permanentmagnet,MC
"Antriebsobjekt, angetrieben durch
piezoelektrische Kraft",MD
"Piezoelektrisches
Antriebsobjekt",MD
Piezoelektrischer Stellantrieb,MD
 piezoelektrischer Motor,MD
"Antriebsobjekt, angetrieben durch
mechanische Energie",ML
"Durch mechanische Energie
angetriebenes Objekt",ML
elastischer Energieantrieb,ML
 Gasturbine,ML
 Gravitationsenergiean-trieb,ML
 Achterbahn,ML
 Federantrieb,ML
 Wasserturbine,ML
 Windturbine,ML
"Antriebsobjekt, angetrieben durch
Flüssigkeitsverdrängung oder Druck",MM
Flüssigkeitsbetriebenes Objekt,MM
Hydraulikzylinder,MM
 Hydraulikmotor,MM
 Pneumatikzylinder,MM
 Pneuma-tikmotor,MM
"Antriebsobjekt, angetrieben durch
Verbrennung von Brennstoffen",MS
Verbrennungsmotor,MS
Dieselmotor,MS
 Ottomotor,MS
 Wankelmotor,MS
"Antriebsobjekt, angetrieben durch eine
externe Wärmequelle",MT
Wärmemaschine,MT
Dampfmotor,MT
 Stirling-Motor,MT
"Objekt zum teilweisen oder vollständigen
Abdecken eines anderen Objekts",N
Abdeckobjekt,N
"Abdeckungsobjekt durch Füllen einer
Öffnung",
Füllobjekt,
Dichtung,
 Buchse,
 Abdeckgitter,
 Mörtel,
 Scheibe,
 Platte,
 Dicht-mittel,
"Abdeckungsobjekt durch Schließen einer
Öffnung",NB
Schließungsobjekt,NB
Gehäuseklappe,NB
 Kabinentür,NB
 Schranktür,NB
 Türblatt,NB
 Blende,NB
Tankdeckel,NB
 Türflügel,NB
 Luckendeckel,NB
 Gehäusedeckel,NB
Wartungsklappe,NB
 Flügel einer großen Tür,NB
"Abdeckungsobjekt durch
Abschlussstrukturen",NC
Abschlussobjekt,NC
Luftfahrzeugverkleidung,NC
 Luftfahrzeugbeplankung,NC
 Rumpfver-kleidung,NC
 Kraftfahrzeugkarosserieteile,NC
 Deckenschicht,NC
 Cockpit-verkleidung,NC
 Bodenbelag,NC
 Rasenboden,NC
 Motorradverkleidung,NC
Bepflasterung,NC
 Pflanzenmatte,NC
 Bedachung,NC
 unbelastete Rumpf-platte,NC
 Wandverkleidung,NC
 Fensterbrett,NC
 Fenstersims,NC
"Abdeckungsobjekt zum Abschließen eines
anderen Objekts",ND
Abschließungsobjekt,ND
Ortgang,ND
 Deckenabschluss,ND
 Krone,ND
 Aufsatzkante,ND
 Stirnbrett,ND
Umbördelung,ND
 Rasenkante,ND
 Pflanzenbeetkante,ND
 Zwischen-bodenkante,ND
 Wandoberseite,ND
"Abdeckungsobjekt zum Verdecken von
Fugen und Übergängen",NE
Verdeckungsobjekt,NE
Architrav,NE
 Sockelleiste,NE
 Muffe,NE
 Deckenverkleidung,NE
 Traufe,NE
Abdeckblech,NE
 Auskleidung,NE
