Beispiel,Kennzeichen
Regelklappe,QN
 Regelarmatur,QN
"Schalten oder Verändern eines Flusses fließfähiger
Stoffe in offenen Umschließungen",QP
Schleuse,QP
 Wehre,QP
"Ermöglichen von Zugang zu einem Raum oder einer
Fläche",QQ
Tür,QQ
 Drehkreuz,QQ
 Schrankeabgrenzend,QQ
"Absperren eines Flusses fließfähiger Stoffe (keine
Armaturen)",QR
Absperreinrichtung,QR
"Öffnen , Schließen von Einlässen (Licht, Luft) zu
abgegrenzten Orten",QW
Fenster,QW
 Verglasung,QW
kombinierte Aufgaben,QZ
Begrenzen des Flusses von elektrischer Energie,RA
Widerstand,RA
 Diode,RA
 Drossel,RA
Stabilisieren eines Flusses von elektrischer Energie,RB
USV,RB
Stabilisieren von Signalen,RF
Tiefpass,RF
 Entzerrer,RF
 Filter,RF
"Verhindern von unerlaubtem Bedienen und/oder
Bewegungen (mechanisch)",RL
Begrenzer,RL
 Schloss,RL
 Arretierung,RL
"Verhindern des Rückflusses von gasförmigen, flüssigen
und fließfähigen Stoffen",RM
Rückschlagventil,RM
Rückschlagklappe,RM
Rückstauverschluss,RM
"Begrenzen des Durchflusses von flüssigen und
gasförmigen Stoffen",RN
Lufteinlass,RN
 Luftauslass,RN
Drosselscheibe,RN
Abschirmen und Dämmen von Lärm,RP
Schalldämpfer,RP
Abschirmen und Dämmen von Wärme oder Kälte,RQ
Wärmedämmung,RQ
 Isolierung,RQ
"Abschirmen und Dämmen vor mechanischen
Einwirkungen",RR
Anpralldämpfer,RR
 Ausmauerung,RR
Spritzschutz,RR
 Stoßdämpfer,RR
Kompensator,RR
Abschirmen und Dämmen vor chemischen Einwirkungen,RS
Auskleidung,RS
Abschirmen und Dämmen von Licht,RT
Lichtblende,RT
"Abschirmen und Stabilisieren von Bewegung in Orten/im
Gelände",RU
Zaun,RU
 Trennwand,RU
kombinierte Aufgaben,RZ
Bereitstellen eines elektrischen Signals,SF
DV-Eingabegeräte,SF
 Schalter,SF
 Taster,SF
Sollwerteinsteller,SF
"Bereitstellen eines elektromagnetischen, optischen oder
akustischen Signals",SG
Lichtschranke,SG
 Computermaus,SG
Bereitstellen eines mechanischen Signals,SH
Bedienelemente,SH
 Handrad,SH
"Bereitstellung eines fluidtechnischen oder
pneumatischen Signals",SJ
Bedienventil,SJ
kombinierte Aufgaben,SZ
"Umwandeln elektrischer Energie unter Beibehaltung der
Energieart und Energieform",TA
Transformator,TA
 Frequenzwandler,TA
DC/DC-Wandler,TA
 Frequenzumrichter,TA
"Umwandeln elektrischer Energie unter Beibehaltung der
Energieart, aber Veränderung der Energieform",TB
Gleichrichter,TB
 Wechselrichter,TB
AC/DC-Wandler,TB
 Netzteil,TB
Umwandeln von Signalen,TF
U/I-Umformer,TF
 Elektrischer Mess-umformer,TF
 Antenne,TF
 Verstärker,TF
Signalumformer,TF
"Umwandeln von Drehzahl, Drehmoment, Kraft in
dieselbe Art",TL
Drehzahl-,TL
 Drehmomentwandler,TL
Druckkraftverstärker,TL
 Getriebe,TL
"Umwandeln von Strahlungsenergie unter Beibehaltung
der Energieform",TR
Brennglas,TR
 Parabolspiegel,TR
kombinierte Aufgaben,TZ
"Halten und Tragen von Einrichtungen elektrischer
Energie",UA
Gerüst,UA
 Stütze,UA
 Einbau- undSchwenkrahmen in Schaltschrank,UA
Halten und Tragen von elektrischen Energiekabeln und -leitungen,UB
Aufhänger,UB
 Kabelkanal,UB
Kabelpritsche ,UB
 Kabeltrasse,UB
 Mast,UB
"Umschließen und Tragen von Einrichtungen elektrischer
Energie",UC
Schaltschrank,UC
 Gehäuse,UC
"Umschließen, Halten und Tragen von elektrischen und
kommunikationstechnischen Anschlüssen",UE
Bodentank,UE
 Elektrant,UE
Brüstungskanal,UE
"Halten, Tragen, Umschließen von leittechnischen und
kommunikationstechnischen Einrichtungen",UF
Baugruppenträger,UF
 Rack,UF
"Halten und Tragen von leittechnischen und
kommunikationstechnischen Kabeln und Leitungen",UG
Kabelkanal,UG
 Kabelpritsche,UG
Kabeltrasse,UG
"Umschließen und Tragen von leittechnischen
Einrichtungen",UH
Steuerschrank,UH
 Gehäuse,UH
"Halten und Tragen von maschinentechnischen
Einrichtungen",UL
Maschinenfundament,UL
Halten und Tragen von gebäudetechnischen Objekten,UM
Fundament,UM
 Bohrpfahl,UM
 Unterzug,UM
Oberzug,UM
 Stütze,UM
 Strukturelement,UM
"Halten und Tragen von rohrleitungstechnischen
Objekten",UN
Halterung für Rohrleitungen,UN
Rohrbrücke,UN
Halten und Führen von Wellen und Läufer,UP
Gleitlager,UP
 Kugellager,UP
"Befestigen und Verankern von maschinentechnischen
Einrichtungen",UR
Konsole,UR
 Montagegestell,UR
 Träger,UR
"räumliche Objekte zur Unterbringung und zum Tragen
anderer Objekte",US
Schacht,US
 Raum,US
 Korridor,US
 Halle,US
kombinierte Aufgaben,UZ
"Reinigen von Stoffen, Produkten oder Einrichtungen",VQ
Staubsauger,VQ
 Waschmaschine,VQ
Gebäudereinigungseinrichtung,VQ
"Verteilen von elektrischer Energie
(> 1 000 V AC oder > 1 500 V DC)",WA
Stromschiene,WA
 elektrischer Verteiler,WA
Sammelschiene,WA
"Transportieren von elektrischer Energie
(> 1 000 V AC oder > 1 500 V DC)",WB
Kabel,WB
 Leiter,WB
 Durchführung,WB
"Verteilen von elektrischer Energie
(<= 1 000 V AC oder <= 1 500 V DC)",WC
elektrischer Verteiler,WC
Sammelschiene,WC
"Transportieren von elektrischer Energie
(<= 1 000 V AC oder <= 1 500 V DC)",WD
Leistungskabel,WD
Leiten von Erdpotential oder Bezugspotential,WE
Erdungsschiene,WE
Potentialausgleichsschiene,WE
Verteilen von elektrischen oder elektronischen Signalen,WF
Datenbus,WF
 Feldbus,WF
 Rangierverteiler,WF
"Transportieren von elektrischen oder elektronischen
Signalen",WG
Steuerkabel,WG
 Messkabel,WG
Datenleitung,WG
Transportieren und Führen von optischen Signalen,WH
Lichtwellenleiter,WH
 Glasfaserkabel,WH
Kabel optisch,WH
"Transportieren von Stoffen und Produkten (nicht
angetrieben)",WL
Förderer,WL
 schiefe Ebene,WL
 Rollentisch,WL
"Leiten und Führen von Strömen flüssiger und
fließfähiger Stoffe (offene Umschließungen)",WM
Abläufe,WM
 Kanal,WM
 Rinne,WM
 Bodeneinlauf,WM
"Leiten und Führen von Strömen flüssiger, fließfähiger
und gasförmiger Stoffe (geschlossene, flexible Um-schließungen)",WN
Schlauch,WN
"Leiten und Führen von Strömen flüssiger und
fließfähiger Stoffe (geschlossene, starre
Umschließungen)",WP
Luftkanal,WP
 Rohrleitung,WP
Abwasserleitung,WP
Übertragen von mechanischer Energie,WQ
Läufer,WQ
 Kette,WQ
 Welle,WQ
Leiten und Führen für spurgebundene Transportmittel,WR
Schienen-,WR
 Weicheneinrichtung,WR
Leiten und Führen von Personen (Begeheinrichtungen),WS
Schleuse,WS
 Treppe,WS
 Laufsteg,WS
Plattform,WS
"Leiten und Führen von mobilen Transportmitteln
(Transportwege)",WT
befahrbare Verkehrsfläche,WT
begehbare Verkehrsfläche,WT
Schifffahrtsweg,WT
kombinierte Aufgaben,WZ
"Anschließen/Verbinden von Objekten
(> 1 000 V AC oder > 1 500 V DC)",XB
Klemme,XB
 Leiste,XB
 Muffe,XB
"Anschließen/Verbinden von Objekten
(<= 1 000 V AC oder <= 1 500 V DC) < 1 kV",XD
Klemme,XD
 Leiste,XD
 Steckverbinder,XD
LSA-Leisten,XD
 Steckdose,XD
Anschließen von Erdpotential oder Bezugspotential,XE
Erdungsklemme,XE
Schirmanschlussklemme,XE
Verbinden in Datenübertragungsnetzen,XF
Hub,XF
 Switch,XF
 Patchpanel,XF
Verbinden von elektrischen Signalträgern,XG
Signalverteiler,XG
 Steckverbinder,XG
Anschlusselement,XG
Verbinden (optisch) von Signalen,XH
optischer Anschluss,XH
Verbinden starrer Umschließungen für Stoffströme,XL
Flansch,XL
 Kupplung,XL
 Fittings,XL
Verbinden flexibler Umschließungen für Stoffströme,XM
Schlauchverbindung,XM
 -kupplung,XM
"Verbinden von Objekten zur Übertragung von
mechanischer Energie, nicht trennbar",XN
Kupplung,XN
 starr,XN
"Verbinden von Objekten zur Übertragung von
mechanischer Energie (schaltbar/variabel)",XP
Schaltkupplung,XP
 Regelkupplung,XP
"Verbinden von Objekten, unlösbar",XQ
Schweiß-,XQ
 Löt-,XQ
 Klebeverbindung,XQ
"Verbinden von Objekten, lösbar",XR
Haken,XR
 Öse,XR
kombinierte Aufgaben,XZ
